country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68B,1.95B,2.31B,2.59B,2.69B,2.91B,3.08B,3.3B,3.57B,3.66B,3.71B,3.97B,4.05B,4.1B,4.41B,4.59B,4.55B,4.6B,4.94B,4.92B,4.97B,5.13B,5.22B,4.61B,4.48B,4.64B,4.59B,4.88B,4.81B,4.78B,4.86B,5.2B,5.32B,5.2B,3.95B,5.05B,5.57B,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418B,379B,487B,530B,538B,598B,630B,717B,745B,905B,1.03TR,1.04TR,1.17TR,1.24TR,1.27TR,1.29TR,1.32TR,1.35TR,1.37TR,1.42TR,1.39TR,1.1TR,1.03TR,
Angola,,,,,,,,,,,,,,,,,,,,,414B,396B,396B,412B,437B,452B,465B,484B,514B,514B,497B,502B,472B,359B,364B,418B,475B,510B,533B,545B,562B,585B,665B,685B,760B,875B,976B,1.11TR,1.24TR,1.25TR,1.3TR,1.35TR,1.46TR,1.53TR,1.61TR,1.62TR,1.58TR,1.58TR,1.56TR,1.55TR,1.46TR,1.48TR,1.52TR,1.54TR
Albania,,,,,,,,,,,,,,,,,,,,,553B,585B,602B,609B,601B,612B,647B,641B,632B,695B,628B,452B,420B,460B,498B,564B,616B,548B,597B,674B,721B,780B,816B,861B,908B,959B,1.02TR,1.08TR,1.16TR,1.2TR,1.24TR,1.27TR,1.29TR,1.3TR,1.33TR,1.35TR,1.4TR,1.45TR,1.51TR,1.54TR,1.49TR,1.62TR,1.7TR,1.76TR
Andorra,,,,,,,,,,,764M,799M,864M,932M,984M,989M,1.02B,1.05B,1.07B,1.07B,1.09B,1.09B,1.1B,1.12B,1.14B,1.17B,1.21B,1.27B,1.34B,1.4B,1.46B,1.49B,1.51B,1.49B,1.53B,1.57B,1.64B,1.79B,1.85B,1.92B,1.99B,2.15B,2.25B,2.45B,2.65B,2.79B,2.92B,2.97B,2.8B,2.65B,2.6B,2.6B,2.47B,2.38B,2.44B,2.48B,2.57B,2.58B,2.62B,2.67B,2.38B,2.57B,2.82B,2.86B
UAE,,,,,,,,,,,52.9B,72.3B,101B,178B,203B,216B,252B,306B,301B,364B,451B,472B,440B,419B,436B,420B,358B,370B,360B,404B,478B,483B,499B,505B,540B,576B,609B,659B,661B,680B,754B,765B,783B,852B,934B,979B,1.08TR,1.11TR,1.15TR,1.09TR,1.1TR,1.17TR,1.19TR,1.25TR,1.3TR,1.39TR,1.47TR,1.48TR,1.5TR,1.52TR,1.44TR,1.51TR,1.62TR,1.68TR
Argentina,183B,193B,191B,181B,199B,220B,219B,226B,237B,260B,268B,283B,288B,296B,312B,312B,306B,327B,312B,344B,349B,331B,329B,343B,348B,330B,351B,360B,356B,331B,322B,352B,380B,411B,435B,423B,446B,482B,501B,484B,480B,459B,409B,445B,485B,528B,571B,622B,647B,609B,671B,711B,703B,720B,702B,721B,706B,726B,707B,693B,625B,692B,726B,715B
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61TR,2.3TR,1.34TR,1.22TR,1.29TR,1.38TR,1.46TR,1.51TR,1.62TR,1.67TR,1.77TR,1.94TR,2.19TR,2.5TR,2.76TR,3.15TR,3.56TR,4.05TR,4.33TR,3.72TR,3.8TR,3.98TR,4.27TR,4.41TR,4.57TR,4.71TR,4.72TR,5.08TR,5.34TR,5.75TR,5.33TR,5.64TR,6.35TR,6.9TR
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725M,732M,735M,732M,702M,715M,696M,667M,669M,669M,640M,624M,635M,655M,644M,599M,615M,612M,639M,634M,645M,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,1.06B,1.11B,1.19B,1.29B,1.34B,1.34B,1.41B,1.56B,1.67B,1.87B,1.99B,2.09B,2.2B,2.27B,2.32B,2.35B,2.47B,2.64B,2.52B,2.69B,2.83B,2.97B,3.08B,3.27B,3.12B,3.15B,3.34B,3.54B,3.77B,4.25B,4.64B,4.64B,4.08B,3.76B,3.69B,3.82B,3.79B,3.88B,3.93B,4.09B,4.19B,4.49B,4.63B,3.75B,4.06B,4.45B,4.62B
Australia,301B,308B,312B,332B,355B,376B,385B,409B,430B,461B,494B,513B,533B,547B,570B,577B,592B,614B,619B,644B,664B,686B,709B,693B,725B,763B,793B,814B,861B,894B,926B,922B,926B,964B,1TR,1.04TR,1.08TR,1.12TR,1.18TR,1.24TR,1.28TR,1.31TR,1.36TR,1.4TR,1.46TR,1.51TR,1.55TR,1.61TR,1.67TR,1.7TR,1.74TR,1.78TR,1.85TR,1.9TR,1.95TR,1.99TR,2.04TR,2.09TR,2.15TR,2.2TR,2.19TR,2.24TR,2.33TR,2.4TR
Austria,76B,80.2B,82.3B,85.7B,91B,94.1B,99.4B,102B,107B,114B,122B,128B,136B,143B,148B,148B,155B,162B,162B,171B,174B,173B,177B,182B,182B,187B,191B,194B,200B,208B,217B,224B,229B,230B,236B,242B,248B,253B,262B,271B,280B,284B,289B,291B,299B,306B,317B,329B,333B,321B,327B,336B,338B,339B,341B,344B,351B,359B,368B,373B,348B,363B,381B,377B
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5B,11.4B,8.82B,6.78B,5.45B,4.8B,4.87B,5.15B,5.66B,6.08B,6.76B,7.43B,8.13B,8.96B,9.79B,12.5B,16.8B,21.1B,23.3B,25.5B,26.8B,26.8B,27.4B,29B,29.8B,30.1B,29.2B,29.2B,29.7B,30.4B,29.1B,30.7B,32.2B,32.5B
Burundi,443B,382B,417B,434B,461B,480B,502B,571B,569B,561B,681B,699B,655B,700B,695B,699B,755B,841B,834B,847B,856B,960B,950B,985B,987B,1.1TR,1.14TR,1.2TR,1.26TR,1.28TR,1.32TR,1.39TR,1.4TR,1.32TR,1.27TR,1.17TR,1.07TR,1.06TR,1.11TR,1.09TR,1.08TR,1.11TR,1.16TR,1.14TR,1.2TR,1.21TR,1.27TR,1.32TR,1.38TR,1.43TR,1.51TR,1.57TR,1.64TR,1.72TR,1.79TR,1.72TR,1.71TR,1.72TR,1.75TR,1.78TR,1.79TR,1.84TR,1.87TR,1.93TR
Belgium,96.1B,101B,106B,111B,118B,123B,127B,131B,137B,146B,155B,162B,170B,181B,189B,185B,196B,197B,203B,208B,217B,216B,217B,218B,223B,227B,231B,237B,248B,256B,264B,269B,273B,271B,280B,286B,290B,301B,307B,318B,330B,333B,339B,342B,355B,363B,372B,386B,388B,380B,391B,397B,400B,402B,408B,417B,422B,429B,437B,446B,423B,452B,466B,472B
