country,2011
Argentina,3.25
Armenia,3
Antigua and Barbuda,2.75
Australia,4
Burundi,3.25
Bangladesh,4
Bulgaria,3.5
Bolivia,2.25
Brazil,4.5
Barbados,4
Brunei,2.75
Botswana,3
Canada,4.25
Switzerland,4.75
Chile,2.75
Cote d'Ivoire,2.5
Colombia,3.75
Comoros,1.75
Cape Verde,3.5
Costa Rica,4.5
Cuba,4.5
Cayman Islands,3
Czech Republic,2.75
Germany,4.25
Dominican Republic,3
Algeria,3.5
Ecuador,4.75
Finland,3.5
Fiji,2.75
Georgia,2.75
Ghana,3.25
Guinea-Bissau,1
Guatemala,3.25
Honduras,3.75
Indonesia,3.25
India,3.25
Italy,3.5
Jamaica,3.75
Japan,4.5
Kenya,4
St. Kitts and Nevis,3.5
Lao,2.25
Lebanon,3
St. Lucia,3.25
Sri Lanka,3.5
Lesotho,2.5
Morocco,3
Madagascar,3.75
Maldives,2.25
Mexico,4.25
Marshall Islands,1.75
North Macedonia,3.25
Mongolia,2.75
Mozambique,4
Mauritius,3.5
Malawi,1.75
Malaysia,3.75
Nigeria,4
Nicaragua,3.75
Norway,3.75
Nepal,2.75
New Zealand,3.75
Pakistan,3.5
Panama,3
Peru,3
Poland,3.25
Paraguay,3.75
Romania,3.25
Senegal,2.75
Solomon Islands,2
Sierra Leone,3
El Salvador,3.25
Sweden,3.75
Syria,3.5
Turks and Caicos Islands,2.25
Thailand,3.75
Tanzania,3.5
USA,3.5
Venezuela,2.75
Vanuatu,2
Samoa,3.5
Yemen,2.25
Zambia,3.75
